followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"6,9
7,9
5,6
5,9,10
5,6
5,9

6,10
6,9
6

5,10
11
9,10
5,6
5
7

5,6,10
5";"











meaning






";es;18;14;MOP4;2, 1, 1, 1, 2, 3, 4, 3, 2, 2, 4, 1, 3, 1, 1, 2, 3, 4, 2, 1;4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;2, 1, 1, 1, 2, 3, 4, 3, 2, 2, 4, 1, 3, 1, 1, 2, 3, 4, 2, 1,4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 4, 2, 2;We have established several chapters PVMA , Inc. as the profession of veterinary medicine made during the current Philippines.;31
"








7,9
10



5
10


5
";"


















";en;22;20;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 2, 2, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 2, 2, 4, 4, 3, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;When Archer asked his publishers for some money to record the new songs that he had written , they terminated his contract instead .;6
"
9




9
10

5


5,9
5,7
5,7

5
5
5
";"


















";es;17;14;MOP4;4, 2, 4, 4, 4, 4, 3, 3, 4, 1, 4, 4, 1, 3, 1, 4, 2, 2, 2, 4;4, 3, 1, 1, 2, 1, 1, 2, 1, 4, 1, 2, 1, 2;4, 2, 4, 4, 4, 4, 3, 3, 4, 1, 4, 4, 1, 3, 1, 4, 2, 2, 2, 4,4, 3, 1, 1, 2, 1, 1, 2, 1, 4, 1, 2, 1, 2;Williams embarked on a career, but Gerhart recovered to bring him down in the yard 12 Minnesota.;13
"7

9
9








5
10





";"


















";es;11;18;MOP4;3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;Within days, the four decided to form their own theater company .;5
"


5,9,10
5,9,10

9
5
9
7
5,11

5,6,9,10
5
5,6
5,10
9,10
6,7
5,10
5";"









no punishment  and fail or refuse should be ""no punishment  or fail to refuse""








";zh;20;16;MOP4;4, 4, 4, 1, 1, 4, 2, 3, 2, 1, 2, 4, 1, 2, 1, 1, 3, 2, 2, 1;2, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1;4, 4, 4, 1, 1, 4, 2, 3, 2, 1, 2, 4, 1, 2, 1, 1, 3, 2, 2, 1,2, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 2, 2, 1, 1;No punishment and fail or refuse to recite the pledge .The commitment is made voluntarily , and no penalties for violations prescribed . ;28
"9
5
9
";"


";zh;15;15;MOP4;2, 2, 3, 4;2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 2, 3, 3, 2, 1;2, 2, 3, 4,2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 2, 3, 3, 2, 1;Equilibrium analysis and optimization and efficiency in exchange derivatives life and death and Say's Law .;3
"10

5
5








7,10



9

10
";"


















";en;22;18;MOP4;3, 4, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4;3, 3, 2, 4, 3, 3, 1, 3, 3, 3, 4, 4, 1, 3, 4, 3, 4, 2;3, 4, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4,3, 3, 2, 4, 3, 3, 1, 3, 3, 3, 4, 4, 1, 3, 4, 3, 4, 2;The most common orthography of the word consists of the characters  shin  /kami ( ç¥ž ) , meaning deity  or  something divine , and bu  ( æ­¦ ) , denoting military , chivalry or arms .;7
9,10;;en;19;15;MOP4;3;4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3;3,4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3;Throughout his career , he produced hundreds of humorous , puzzling and provocative tableaux that challenge and mock preconceptions and taboos .;2
"
9





5,9
6,10
9


7
9

7



5";"


















";en;23;17;MOP4;4, 3, 4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 2;4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4;4, 3, 4, 4, 4, 4, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 2,4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4;The skulls were hand-crafted and required a lot of preparation , so it was one of the first things started for the episode's production .;10
"
5
5
6
9,10

6,7,10
5
7
6
7
6
7

5,6,7
6,7
9
6,9,10

7,9,10";"


















";en;23;15;MOP4;4, 3, 3, 2, 3, 4, 2, 1, 3, 2, 2, 1, 2, 4, 2, 1, 3, 1, 4, 3;1, 1, 3, 3, 2, 2, 2, 4, 2, 2, 3, 2, 2, 3, 2;4, 3, 3, 2, 3, 4, 2, 1, 3, 2, 2, 1, 2, 4, 2, 1, 3, 1, 4, 3,1, 1, 3, 3, 2, 2, 2, 4, 2, 2, 3, 2, 2, 3, 2;According to the 2010 census , the township has a total area of , of which ( or 99.94 % ) is land and ( or 0.06 % ) is water .;26
"


9,10




10




11
11
7
9

9
";"












I don't think anyone would say, ""No penalties attach to a failure...""  They would say, ""No penalties will occur because of...""
repetition, sentences say the same point




";en;23;14;MOP4;4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 2, 4;4, 4, 3, 3, 4, 4, 3, 1, 3, 4, 4, 4, 2, 2;4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 2, 4,4, 4, 3, 3, 4, 4, 3, 1, 3, 4, 4, 4, 2, 2;No penalties attach to a failure or refusal to recite the pledge .The pledge is made voluntarily and no penalties are imposed for noncompliance . ;8
"10
10

9

9,10












";"

















";en;18;15;MOP4;3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;3, 3, 4, 4, 3, 3, 3, 4, 2, 3, 4, 3, 3, 3, 4;3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,3, 3, 4, 4, 3, 3, 3, 4, 2, 3, 4, 3, 3, 3, 4;He gained fame for healing paralytics and for his prophetic abilities , obtained through a state of religious ecstasy .;5
"9




10
5
6


10
10
5
5
9

5
10
5
5";"


















";en;17;18;MOP4;1, 4, 4, 4, 4, 2, 3, 3, 4, 4, 2, 3, 2, 3, 2, 4, 1, 3, 3, 2;2, 4, 4, 1, 1, 1, 3, 2, 3, 4, 3, 3, 3, 2, 3, 2, 2, 4;1, 4, 4, 4, 4, 2, 3, 3, 4, 4, 2, 3, 2, 3, 2, 4, 1, 3, 3, 2,2, 4, 4, 1, 1, 1, 3, 2, 3, 4, 3, 3, 3, 2, 3, 2, 2, 4;Equilibrium analysis and its derivatives of optimization and efficiency in exchange live or die with Say's law .;13
"


5,9,10

8
9,10

5
7






8,10

8
";"


















";en;24;17;MOP4;4, 4, 4, 3, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4;4, 3, 4, 4, 3, 3, 4, 2, 4, 4, 3, 4, 4, 3, 4, 4, 3;4, 4, 4, 3, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4,4, 3, 4, 4, 3, 3, 4, 2, 4, 4, 3, 4, 4, 3, 4, 4, 3;However , these rights and privileges ( see Dhimmitude ) , including freedom of worship and religious organisation , were often established in principle but seldom corresponded to reality .;11
"5

8,9,10


7,8,9

8,9

8
6,10
8
10


9
8,10
10
11
";"

















Strange signs (€ and “)between the words ""sub"" and ""contractors""
";en;20;18;MOP4;3, 4, 2, 4, 4, 2, 4, 3, 4, 3, 2, 2, 3, 4, 4, 2, 3, 3, 3, 4;1, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;3, 4, 2, 4, 4, 2, 4, 3, 4, 3, 2, 2, 3, 4, 4, 2, 3, 3, 3, 4,1, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;After investigation , he exonerated Ninian Edwards and his vendors , and placed the blame for the meat problem solely on subâ€“contractors .;19
"






10
6
6





10

9
10
";"


















";en;20;17;MOP4;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4;3, 3, 2, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4,3, 3, 2, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4;The median income for a household in the town was $ 24,583 , and the median income for a family was $ 23,214 .;6
"7
8

5
5,10
8,9
8,9
5,6,7

5,9
5
5
5,6,9
5
7
7,9


5
5";"


















";zh;25;15;MOP4;3, 2, 4, 1, 2, 2, 2, 1, 4, 1, 2, 2, 1, 3, 3, 3, 4, 4, 1, 1;2, 1, 2, 3, 4, 2, 2, 3, 2, 4, 2, 2, 3, 4, 3;3, 2, 4, 1, 2, 2, 2, 1, 4, 1, 2, 2, 1, 3, 3, 3, 4, 4, 1, 1,2, 1, 2, 3, 4, 2, 2, 3, 2, 4, 2, 2, 3, 4, 3;The most common spelling of the word by the character new /  gods  ( gods ) , meaning  God  or  sacred  and no ( Wu ) , refers to the military , knights or arm.;25
"7,10
9,10
5
9,10

7
7
5,9
6,7
6,7
7,9,10
5
5,6
5,6,7,10
5,9
5
5,6,10
5,7,10
10
7";"


















";zh;17;18;MOP4;2, 2, 3, 3, 4, 2, 3, 1, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2;1, 2, 4, 2, 1, 1, 2, 4, 2, 2, 1, 2, 3, 2, 2, 3, 2, 2;2, 2, 3, 3, 4, 2, 3, 1, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2,1, 2, 4, 2, 1, 1, 2, 4, 2, 2, 1, 2, 3, 2, 2, 3, 2, 2;Logan scrub Western claims investigation and verification of its accuracy , and efforts to eradicate fraud and dishonesty .;36
9,10;;zh;12;18;MOP4;2;1, 1, 1, 2, 1, 2, 3, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 1;2,1, 1, 1, 2, 1, 2, 3, 1, 3, 1, 1, 1, 1, 2, 2, 2, 2, 1;He is an urgent ...... and discriminat ... logicians  and lawyers ' habitual calm and cautious . ;2
"7


5
5,10
6,7
9
7
5
9
7
7

11
7
5
7
5
5,9
5";"












the word people is wrong





";zh;19;18;MOP4;3, 4, 4, 2, 1, 2, 3, 3, 2, 3, 1, 1, 4, 2, 1, 2, 2, 2, 1, 2;1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 3, 3, 3;3, 4, 4, 2, 1, 2, 3, 3, 2, 3, 1, 1, 4, 2, 1, 2, 2, 2, 1, 2,1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 3, 3, 3;He played for three seasons in the NFL , and two people with the Seattle Seahawks and the Miami Dolphins .;20
"



10

9

9,10









9,10
";"


















";zh;23;15;MOP4;4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4,3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;Jason Stewart ( born in 1971 ) is an American film and television editor, best known for his independent film and television reality show work.;6
"7

5
8,9
9

5

7,9

9
5,10
6
5,7
5,7,9
9
5,7,9,10
5,10
5
";"


















";zh;20;18;MOP4;3, 4, 1, 2, 2, 4, 1, 4, 3, 4, 3, 2, 2, 2, 2, 2, 1, 1, 2, 4;1, 2, 1, 2, 1, 1, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2;3, 4, 1, 2, 2, 4, 1, 4, 3, 4, 3, 2, 2, 2, 2, 2, 1, 1, 2, 4,1, 2, 1, 2, 1, 1, 2, 3, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2;In First Press Limited Edition comes with a special black and gold case and features are disease - Introduction and  obstacles - heaven .;25
"7,9
9,10
";"

";zh;11;14;MOP4;3, 3, 4;4, 4, 3, 3, 4, 4, 3, 3, 3, 2, 4, 4, 4, 3;3, 3, 4,4, 4, 3, 3, 4, 4, 3, 3, 3, 2, 4, 4, 4, 3;They eat leaves , and sometimes fruits, flowers and buds , and bark.;4
"


9
9
10

5

9,10
9,10



11


5
6
";"













a household and a family would generally be the same thing




";zh;20;18;MOP4;4, 4, 4, 3, 3, 3, 4, 3, 4, 2, 3, 4, 4, 4, 2, 4, 4, 2, 3, 4;4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 3, 3, 3, 4, 3, 4, 2, 3, 4, 4, 4, 2, 4, 4, 2, 3, 4,4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;The median income for a household in the town was $ 24,583 , and the median income for a family is $ 23,214 .;11
"5,6,7,9,10

9
5
9,10

5,9";"





";zh;25;12;MOP4;1, 4, 2, 2, 3, 4, 1;1, 1, 2, 3, 2, 1, 3, 3, 2, 1, 1, 2;1, 4, 2, 2, 3, 4, 1,1, 1, 2, 3, 2, 1, 3, 3, 2, 1, 1, 2;Different moments of primitive accumulation , distribution and now own more or less chronological order , particularly in Spain, Portugal, the Netherlands , France and the United Kingdom.;11
"7
9
9

5,11

5,7,9,10
5
5
5,8,10
5
5,9,10

10
9,10
5,7
5
5,9
5
5,6,7,10";"



simply doesn't make sense














";ja;21;17;MOP4;3, 2, 2, 4, 1, 4, 1, 1, 1, 2, 1, 1, 4, 3, 2, 3, 1, 2, 2, 1;2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1;3, 2, 2, 4, 1, 4, 1, 1, 1, 2, 1, 1, 4, 3, 2, 3, 1, 2, 2, 1,2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1;Throughout his career , I have created him to challenge , hundreds of taboo and prejudice and mock tableau provocative and humorous inexplicable .;31
"6,8,9
10
6
8
6
6,8,9
5,6,8,10

5,6,8,9,10
8,9,10
8,9
5,7
5,9
5,8
5,8,9
5,6,8,9
7
9
5,6,8,9
9";"


















";ja;13;17;MOP4;2, 2, 3, 2, 3, 1, 1, 4, 1, 2, 1, 1, 3, 1, 2, 1, 2, 2, 2, 2;2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1;2, 2, 3, 2, 3, 1, 1, 4, 1, 2, 1, 1, 3, 1, 2, 1, 2, 2, 2, 2,2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1;He is  discriminat ... logician and acute ...  and  attention and coolness habitual  of lawyers .;44
"5,7,9




5,6,9,10
5,9
5,6,7,9
6

5,7

9
5,6,7
9
9
5,9,10
7
5
5,9";"


















";ja;23;14;MOP4;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 1, 4, 1, 1, 2, 3, 1, 2, 2, 1;2, 2, 1, 3, 1, 4, 2, 2, 1, 3, 2, 2, 1, 2;2, 4, 4, 4, 4, 2, 3, 2, 3, 4, 1, 4, 1, 1, 2, 3, 1, 2, 2, 1,2, 2, 1, 3, 1, 4, 2, 2, 1, 3, 2, 2, 1, 2;According to the census of 2010 , the town has a total area of ( 99.94 percent ) or is water is ( or 0.06% ) and land .;29
"5,6,9

5
5

7

5,6,10
5,6,9
6
5,6,9
5,6,9
5,9,10
5,6
5
5
5,10
5,6,7
5
5,9";"


















";ja;17;14;MOP4;2, 4, 3, 2, 4, 3, 4, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2;1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;2, 4, 3, 2, 4, 3, 4, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2,1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1;Led to Raymond , military march skirmish and Turks , the Anatolia between Amasya and Merzifon and a Kastamonu .;34
"
6
8,9
6
5,10
5

5
5
5
10

5
7
7,8
9
10
10
5
10";"


















";ja;21;18;MOP4;4, 2, 2, 3, 3, 3, 4, 3, 2, 2, 2, 4, 1, 2, 3, 2, 3, 3, 1, 3;2, 1, 3, 3, 3, 3, 3, 2, 3, 2, 4, 2, 3, 1, 3, 2, 2, 3;4, 2, 2, 3, 3, 3, 4, 3, 2, 2, 2, 4, 1, 2, 3, 2, 3, 3, 1, 3,2, 1, 3, 3, 3, 3, 3, 2, 3, 2, 4, 2, 3, 1, 3, 2, 2, 3;He said for the state to correct its position , and might ask to prepare the company for the ship that sank .;20
"5
9
11
5
11
5,10

8

5,7,9
5,6,9
8


5
5,7,9

11
5
11";"

just makes no sense

Words are not used in the correct context.












I die in Say's Law or derivative live its... doesn't sound right

Hard to understand";ja;18;17;MOP4;3, 1, 1, 1, 2, 2, 4, 1, 4, 1, 1, 2, 4, 4, 3, 1, 4, 3, 1, 3;2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1;3, 1, 1, 1, 2, 2, 4, 1, 4, 1, 1, 2, 4, 4, 3, 1, 4, 3, 1, 3,2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1;In exchange for the equilibrium analysis , I die in Say's Law or derivative live its efficiency and optimization .;22
"5,6
5,9


7,10
10
5,6,9,10
5,9,10
5,7,9,10
5,6
5,11

5
7
5,7
5,7
5,6
5,7
5,6,7
5,11";"









Makes little sense








Doesn't make sense.";ja;23;16;MOP4;1, 1, 4, 4, 1, 3, 1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2, 1, 1, 1;2, 1, 1, 1, 1, 3, 4, 3, 1, 1, 1, 3, 2, 3, 2, 2;1, 1, 4, 4, 1, 3, 1, 3, 1, 1, 2, 4, 1, 3, 1, 1, 2, 1, 1, 1,2, 1, 1, 1, 1, 3, 4, 3, 1, 1, 1, 3, 2, 3, 2, 2;He returned to Darlington , but was released was the Cup and the League of 49 for the club , in the summer of 2007 .;37
"5,6,9
5,9,10
7,9
5,7,10
5
6,10
7
9
6
9
5
6,9
9,11
7
7

9
5,6,9
5
6,9";"











Fragment






";ja;19;19;MOP4;1, 1, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 2, 2, 3, 4, 3, 1, 2, 1;2, 2, 3, 3, 4, 3, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 1, 3, 3;1, 1, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 2, 2, 3, 4, 3, 1, 2, 1,2, 2, 3, 3, 4, 3, 1, 3, 2, 3, 2, 3, 2, 2, 3, 4, 1, 3, 3;The Limited Edition , which comes with gold case and special black , and includes both  Failure - Intro  and  Failure - heaven  .;32
"7



9
9





10



11

9,10
7,9
7";"














Word choice



";ja;20;15;MOP4;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 3, 3;3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4;3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 3, 3,3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4;The median income for a household in the town was $ 24,583 , and the median income for a family was $ 23,214 .;10
"

5,9,10
10
10
9

9,10








10


5";"


















";es;25;17;MOP4;4, 4, 2, 3, 2, 1, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3;2, 2, 4, 3, 4, 1, 3, 3, 2, 3, 4, 4, 2, 4, 2, 4, 2;4, 4, 2, 3, 2, 1, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3,2, 2, 4, 3, 4, 1, 3, 3, 2, 3, 4, 4, 2, 4, 2, 4, 2;The most common spelling of the word is composed of the characters  shin /  kami  (ç¥ž) , meaning  deity  and  something divine  and bu (æ­¦) , denoting military , cavalry or arms .;10
"
9,10
9,10
5,10
7
5,7,10

5
5,9
7,8,9,10




5,7,8
5,8,9,10
5,10
5
7,9,10
5";"


















";es;21;18;MOP4;4, 3, 3, 2, 2, 2, 4, 3, 2, 2, 4, 4, 4, 4, 2, 1, 3, 3, 1, 2;3, 2, 1, 1, 4, 2, 1, 2, 4, 2, 1, 2, 2, 2, 2, 2, 1, 1;4, 3, 3, 2, 2, 2, 4, 3, 2, 2, 4, 4, 4, 4, 2, 1, 3, 3, 1, 2,3, 2, 1, 1, 4, 2, 1, 2, 4, 2, 1, 2, 2, 2, 2, 2, 1, 1;Simons said that Lansky and his female backup ' attire was  glamorous kick - ass - or - maybe a- sides -VA- club dresses and heels .;31
"
6





10


6

5,9


9
10
7

";"


















";es;21;18;MOP4;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4, 1, 4, 4, 2, 3, 3, 4, 4;3, 2, 2, 4, 1, 4, 3, 2, 2, 2, 1, 2, 1, 3, 2, 1, 1, 2;4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4, 1, 4, 4, 2, 3, 3, 4, 4,3, 2, 2, 4, 1, 4, 3, 2, 2, 2, 1, 2, 1, 3, 2, 1, 1, 2;Analysis of equilibrium and its derivatives of the optimization and efficiency in the exchange of live or die with Say's Law .;8
"5,10
6
9

9




";"








";es;22;17;MOP4;1, 3, 3, 4, 2, 4, 4, 4, 4, 4;4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4;1, 3, 3, 4, 2, 4, 4, 4, 4, 4,4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4;He returned to Darlington, but was released in the summer of 2007 , having made 49 league and cup appearances for the club .;5
"7

5,6

9
9
5
5

6

5
5,6
5
5,6
6
7

5,6
5";"


















";es;25;18;MOP4;3, 4, 1, 4, 3, 3, 3, 2, 4, 3, 4, 2, 2, 1, 2, 2, 3, 4, 1, 1;3, 2, 3, 2, 3, 2, 2, 4, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2;3, 4, 1, 4, 3, 3, 3, 2, 4, 3, 4, 2, 2, 1, 2, 2, 3, 4, 1, 1,3, 2, 3, 2, 3, 2, 2, 4, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2;The characteristics of the malls over 20 anchors and over 200 specialty shops and a variety of theme restaurants, casual restaurants and local art leisure .;19
"
9
10
5,9,10
10
5
7
5,10
5
5
5,8

5
7
10
7
5

5,6
7,9,10";"


















";es;20;18;MOP4;4, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 4, 3, 2, 3, 2, 2, 4, 2, 3;2, 2, 3, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 2;4, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 4, 3, 2, 3, 2, 2, 4, 2, 3,2, 2, 3, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 2;Jason Stewart (born 1971 ) is a film and television editor American known for his work in independent films and reality television .;24
"
7
10
6,9






6
8,9

6
9
6,10
6
5,9

5";"


















";es;23;17;MOP4;4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 2, 2, 4, 2, 2, 3, 1, 2, 4, 2;2, 4, 2, 2, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 3, 2, 4;4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 2, 2, 4, 2, 2, 3, 1, 2, 4, 2,2, 4, 2, 2, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 3, 2, 4;However, these rights and privileges ( see Dhimmitude ) , including freedom of worship and religious organization, often established in principle but seldom corresponded to reality.;15
"

5,10
7
5,9,10
11
6
10
11
5,6,7
7,10
6

9
5,6
6
5
5,10
5
11";"




I think disorder is the wrong word.  discs  would make more sense.


repeated use of










It doesn't make sense";es;22;15;MOP4;4, 4, 3, 3, 2, 2, 2, 3, 3, 1, 2, 3, 4, 3, 3, 2, 2, 1, 3, 1;3, 2, 4, 2, 1, 3, 3, 4, 4, 3, 1, 4, 3, 3, 2;4, 4, 3, 3, 2, 2, 2, 3, 3, 1, 2, 3, 4, 3, 3, 2, 2, 1, 3, 1,3, 2, 4, 2, 1, 3, 3, 4, 4, 3, 1, 4, 3, 3, 2;The first edition of the limited edition comes with a special black and gold case and has two Disorder - Intro and  Disorder - Heaven  .;25
"5


5,9


6
5
6


6
10
5
6,8,9,10

10


10";"


















";es;21;17;MOP4;2, 4, 4, 2, 4, 4, 3, 3, 3, 4, 4, 3, 2, 2, 2, 4, 2, 4, 4, 3;1, 2, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 1, 2, 1, 2;2, 4, 4, 2, 4, 4, 3, 3, 3, 4, 4, 3, 2, 2, 2, 4, 2, 4, 4, 3,1, 2, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 2, 1, 2, 1, 2;After the investigation, which exonerated Ninian Edwards and its suppliers, and placed the blame for the problem of meat only subcontractors.;15
"




10


9






9



6";"


















";en;19;18;MOP4;4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4;4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4;The scholar Meyer suggests that the tale of Pandu may be inspired by the much older narrative of Kalmashapada .;4
"7


6
6
7
9
7

6
7,9,10
7
7

10
5
7
10,11
5,9
";"
















the word village after USA

";zh;8;17;MOP4;2, 4, 4, 3, 3, 3, 3, 2, 4, 3, 2, 2, 2, 4, 2, 2, 2, 3, 3, 4;3, 4, 2, 2, 2, 4, 2, 3, 4, 3, 3, 3, 3, 1, 3, 3, 2;2, 4, 4, 3, 3, 3, 3, 2, 4, 3, 2, 2, 2, 4, 2, 2, 2, 3, 3, 4,3, 4, 2, 2, 2, 4, 2, 3, 4, 3, 3, 3, 3, 1, 3, 3, 2;Dongola is in Union County , Illinois , USA village.;19
